"location","total_cases"
"World","775866783"
"High-income countries","429044049"
"Asia","301499099"
"Europe","252916868"
"Upper-middle-income countries","251753518"
"European Union (27)","185822587"
"North America","124492666"
"United States","103436829"
"China","99373219"
"Lower-middle-income countries","91954400"
"South America","68809418"
"India","45041748"
"France","38997490"
"Germany","38437756"
"Brazil","37511921"
"South Korea","34571873"
"Japan","33803572"
"Italy","26781078"
"United Kingdom","24974629"
"Russia","24268728"
"Turkey","17004718"
"Oceania","15003352"
"Spain","13980340"
"Africa","13145380"
"Australia","11861161"
"Vietnam","11624000"
"Argentina","10101218"
"Netherlands","8640008"
"Iran","7627863"
"Mexico","7619458"
"Indonesia","6829399"
"Poland","6670799"
"Colombia","6391876"
"Austria","6082444"
"Greece","5673681"
"Portugal","5664109"
"Ukraine","5532777"
"Chile","5401126"
"Malaysia","5309410"
"Belgium","4872829"
"Israel","4841558"
"Canada","4819055"
"Thailand","4799180"
"Czechia","4761919"
"Peru","4526977"
"Switzerland","4457868"
"Philippines","4140383"
"South Africa","4072765"
"Romania","3541619"
"Denmark","3435679"
"Singapore","3006155"
"Sweden","2755181"
"New Zealand","2639048"
"Serbia","2583470"
"Iraq","2465545"
"Hungary","2230800"
"Bangladesh","2051348"
"Low-income countries","1944334"
"Slovakia","1878002"
"Georgia","1863615"
"Jordan","1746997"
"Ireland","1745088"
"Pakistan","1580631"
"Norway","1512647"
"Kazakhstan","1504370"
"Finland","1499712"
"Lithuania","1369355"
"Slovenia","1356582"
"Bulgaria","1329988"
"Croatia","1317144"
"Morocco","1279115"
"Puerto Rico","1252713"
"Guatemala","1250371"
"Lebanon","1239904"
"Costa Rica","1234701"
"Bolivia","1212147"
"Tunisia","1153361"
"Cuba","1113662"
"Ecuador","1077445"
"United Arab Emirates","1067030"
"Panama","1044821"
"Uruguay","1041346"
"Mongolia","1011489"
"Nepal","1003450"
"Belarus","994037"
"Latvia","977765"
"Saudi Arabia","841469"
"Azerbaijan","835757"
"Paraguay","735759"
"Palestine","703228"
"Bahrain","696614"
"Cyprus","696410"
"Sri Lanka","672798"
"Kuwait","667290"
"Dominican Republic","661103"
"Myanmar","642885"
"Moldova","637520"
"Estonia","610471"
"Venezuela","552695"
"Egypt","516023"
"Qatar","514524"
"Libya","507269"
"Ethiopia","501193"
"Reunion","494595"
"Honduras","472896"
"Armenia","452273"
"Bosnia and Herzegovina","403666"
"Oman","399449"
"Luxembourg","393542"
"North Macedonia","350924"
"Zambia","349842"
"Brunei","347723"
"Kenya","344106"
"Albania","335047"
"Botswana","330696"
"Mauritius","328167"
"Kosovo","274279"
"Algeria","272139"
"Nigeria","267188"
"Zimbabwe","266386"
"Montenegro","251280"
"Afghanistan","235214"
"Mozambique","233843"
"Martinique","230354"
"Laos","219060"
"Iceland","210374"
"Guadeloupe","203235"
"El Salvador","201920"
"Trinidad and Tobago","191496"
"Maldives","186694"
"Uzbekistan","175081"
"Namibia","172533"
"Uganda","172154"
"Ghana","172062"
"Jamaica","157181"
"Cambodia","139319"
"Rwanda","133264"
"Cameroon","125246"
"Malta","122796"
"Barbados","108582"
"Angola","107481"
"Democratic Republic of Congo","101009"
"French Guiana","98041"
"Senegal","89485"
"Malawi","89168"
"Kyrgyzstan","88953"
"Cote d'Ivoire","88434"
"Suriname","82501"
"New Caledonia","80163"
"French Polynesia","79387"
"Eswatini","75356"
"Guyana","74443"
"Belize","71414"
"Fiji","69047"
"Madagascar","68567"
"Jersey","66391"
"Cape Verde","64474"
"Sudan","63993"
"Mauritania","63872"
"Bhutan","62697"
"Syria","57423"
"Burundi","54569"
"Guam","52287"
"Seychelles","51886"
"Gabon","49051"
"Andorra","48015"
"Papua New Guinea","46864"
"Curacao","45883"
"Aruba","44224"
"Tanzania","43230"
"Mayotte","42027"
"Togo","39530"
"Bahamas","39127"
"Guinea","38572"
"Isle of Man","38008"
"Lesotho","36138"
"Guernsey","35326"
"Faroe Islands","34658"
"Haiti","34456"
"Mali","33166"
"Micronesia (country)","31765"
"Cayman Islands","31472"
"Saint Lucia","30282"
"Benin","28036"
"Somalia","27334"
"Solomon Islands","25954"
"United States Virgin Islands","25389"
"San Marino","25292"
"Congo","25227"
"East Timor","23460"
"Burkina Faso","22139"
"Liechtenstein","21588"
"Gibraltar","20550"
"Grenada","19693"
"Bermuda","18860"
"South Sudan","18823"
"Tajikistan","17786"
"Monaco","17181"
"Equatorial Guinea","17130"
"Samoa","17057"
"Tonga","16976"
"Marshall Islands","16297"
"Nicaragua","16185"
"Dominica","16047"
"Djibouti","15690"
"Central African Republic","15441"
"Northern Mariana Islands","14912"
"Gambia","12627"
"Saint Martin (French part)","12324"
"Vanuatu","12019"
"Greenland","11971"
"Yemen","11945"
"Bonaire Sint Eustatius and Saba","11922"
"Sint Maarten (Dutch part)","11051"
"Eritrea","10189"
"Saint Vincent and the Grenadines","9674"
"Guinea-Bissau","9614"
"Niger","9518"
"Comoros","9109"
"Antigua and Barbuda","9106"
"American Samoa","8359"
"Sierra Leone","7979"
"Liberia","7930"
"Chad","7702"
"British Virgin Islands","7557"
"Cook Islands","7345"
"Turks and Caicos Islands","6805"
"Sao Tome and Principe","6771"
"Saint Kitts and Nevis","6607"
"Palau","6372"
"Saint Barthelemy","5507"
"Nauru","5393"
"Kiribati","5085"
"Anguilla","3904"
"Wallis and Futuna","3760"
"Saint Pierre and Miquelon","3426"
"Tuvalu","2943"
"Saint Helena","2166"
"Falkland Islands","1923"
"Montserrat","1403"
"Niue","1074"
"Tokelau","80"
"Vatican","26"
"Pitcairn","4"
