"date","total_cases","total_deaths"
"2020-01-01","0","0"
"2020-01-02","0","0"
"2020-01-03","0","0"
"2020-01-04","0","0"
"2020-01-05","9","15"
"2020-01-06","9","15"
"2020-01-07","9","15"
"2020-01-08","9","15"
"2020-01-09","9","15"
"2020-01-10","9","15"
"2020-01-11","9","15"
"2020-01-12","189","19"
"2020-01-13","189","19"
"2020-01-14","189","19"
"2020-01-15","189","19"
"2020-01-16","189","19"
"2020-01-17","189","19"
"2020-01-18","189","19"
"2020-01-19","551","27"
"2020-01-20","551","27"
"2020-01-21","551","27"
"2020-01-22","551","27"
"2020-01-23","551","27"
"2020-01-24","551","27"
"2020-01-25","551","27"
"2020-01-26","8136","254"
"2020-01-27","8136","254"
"2020-01-28","8136","254"
"2020-01-29","8136","254"
"2020-01-30","8136","254"
"2020-01-31","8136","254"
"2020-02-01","8136","254"
"2020-02-02","58306","1497"
"2020-02-03","58306","1497"
"2020-02-04","58306","1497"
"2020-02-05","58306","1497"
"2020-02-06","58306","1497"
"2020-02-07","58306","1497"
"2020-02-08","58306","1497"
"2020-02-09","150265","3677"
"2020-02-10","150265","3677"
"2020-02-11","150265","3677"
"2020-02-12","150265","3677"
"2020-02-13","150265","3677"
"2020-02-14","150265","3677"
"2020-02-15","150265","3677"
"2020-02-16","276071","7134"
"2020-02-17","276071","7134"
"2020-02-18","276071","7134"
"2020-02-19","276071","7134"
"2020-02-20","276071","7134"
"2020-02-21","276071","7134"
"2020-02-22","276071","7134"
"2020-02-23","313134","9897"
"2020-02-24","313134","9897"
"2020-02-25","313134","9897"
"2020-02-26","313134","9897"
"2020-02-27","313134","9897"
"2020-02-28","313134","9897"
"2020-02-29","313134","9897"
"2020-03-01","347590","11985"
"2020-03-02","347590","11985"
"2020-03-03","347590","11985"
"2020-03-04","347590","11985"
"2020-03-05","347590","11985"
"2020-03-06","347590","11985"
"2020-03-07","347590","11985"
"2020-03-08","436705","14827"
"2020-03-09","436705","14827"
"2020-03-10","436705","14827"
"2020-03-11","436705","14827"
"2020-03-12","436705","14827"
"2020-03-13","436705","14827"
"2020-03-14","436705","14827"
"2020-03-15","718652","27318"
"2020-03-16","718652","27318"
"2020-03-17","718652","27318"
"2020-03-18","718652","27318"
"2020-03-19","718652","27318"
"2020-03-20","718652","27318"
"2020-03-21","718652","27318"
"2020-03-22","1510318","73680"
"2020-03-23","1510318","73680"
"2020-03-24","1510318","73680"
"2020-03-25","1510318","73680"
"2020-03-26","1510318","73680"
"2020-03-27","1510318","73680"
"2020-03-28","1510318","73680"
"2020-03-29","3088142","179246"
"2020-03-30","3088142","179246"
"2020-03-31","3088142","179246"
"2020-04-01","3088142","179246"
"2020-04-02","3088142","179246"
"2020-04-03","3088142","179246"
"2020-04-04","3088142","179246"
"2020-04-05","5108693","347247"
"2020-04-06","5108693","347247"
"2020-04-07","5108693","347247"
"2020-04-08","5108693","347247"
"2020-04-09","5108693","347247"
"2020-04-10","5108693","347247"
"2020-04-11","5108693","347247"
"2020-04-12","7336631","556993"
"2020-04-13","7336631","556993"
"2020-04-14","7336631","556993"
"2020-04-15","7336631","556993"
"2020-04-16","7336631","556993"
"2020-04-17","7336631","556993"
"2020-04-18","7336631","556993"
"2020-04-19","9466658","772751"
"2020-04-20","9466658","772751"
"2020-04-21","9466658","772751"
"2020-04-22","9466658","772751"
"2020-04-23","9466658","772751"
"2020-04-24","9466658","772751"
"2020-04-25","9466658","772751"
"2020-04-26","11706483","962520"
