"location","year","max_total_deaths","max_total_cases","mortality_rate_percentage"
"Afghanistan","2020","2158","51848","4.16"
"Afghanistan","2021","7352","157902","4.66"
"Afghanistan","2022","7845","207322","3.78"
"Afghanistan","2023","7973","230375","3.46"
"Afghanistan","2024","7998","235214","3.40"
"Africa","2020","62634","2662452","2.35"
"Africa","2021","227755","9634415","2.36"
"Africa","2022","258487","12994425","1.99"
"Africa","2023","259066","13133432","1.97"
"Africa","2024","259117","13145380","1.97"
"Albania","2020","1134","55380","2.05"
"Albania","2021","3187","207221","1.54"
"Albania","2022","3596","332670","1.08"
"Albania","2023","3604","334596","1.08"
"Albania","2024","3605","335047","1.08"
"Algeria","2020","2722","97857","2.78"
"Algeria","2021","6229","216376","2.88"
"Algeria","2022","6881","271194","2.54"
"Algeria","2023","6881","272010","2.53"
"Algeria","2024","6881","272139","2.53"
"American Samoa","2020","0","0","0"
"American Samoa","2021","0","11","0.00"
"American Samoa","2022","34","8266","0.41"
"American Samoa","2023","34","8359","0.41"
"American Samoa","2024","34","8359","0.41"
"Andorra","2020","83","7806","1.06"
"Andorra","2021","139","21730","0.64"
"Andorra","2022","158","47686","0.33"
"Andorra","2023","159","48015","0.33"
"Andorra","2024","159","48015","0.33"
"Angola","2020","400","17149","2.33"
"Angola","2021","1746","71142","2.45"
"Angola","2022","1929","105070","1.84"
"Angola","2023","1937","106928","1.81"
"Angola","2024","1937","107481","1.80"
"Anguilla","2020","0","12","0.00"
"Anguilla","2021","5","1646","0.30"
"Anguilla","2022","12","3904","0.31"
"Anguilla","2023","12","3904","0.31"
"Anguilla","2024","12","3904","0.31"
"Antigua and Barbuda","2020","5","155","3.23"
"Antigua and Barbuda","2021","118","4229","2.79"
"Antigua and Barbuda","2022","146","9106","1.60"
"Antigua and Barbuda","2023","146","9106","1.60"
"Antigua and Barbuda","2024","146","9106","1.60"
"Argentina","2020","47507","1629908","2.91"
"Argentina","2021","117830","5559916","2.12"
"Argentina","2022","130124","9891139","1.32"
"Argentina","2023","130472","10044957","1.30"
"Argentina","2024","130663","10101218","1.29"
"Armenia","2020","2768","157834","1.75"
"Armenia","2021","7943","344481","2.31"
"Armenia","2022","8708","445583","1.95"
"Armenia","2023","8775","451426","1.94"
"Armenia","2024","8777","452273","1.94"
"Aruba","2020","47","5228","0.90"
"Aruba","2021","181","17165","1.05"
"Aruba","2022","280","43752","0.64"
"Aruba","2023","292","44224","0.66"
"Aruba","2024","292","44224","0.66"
"Asia","2020","330452","20190911","1.64"
"Asia","2021","1251074","84190614","1.49"
"Asia","2022","1518727","250812759","0.61"
"Asia","2023","1635931","301161412","0.54"
"Asia","2024","1637249","301499099","0.54"
"Australia","2020","920","28296","3.25"
"Australia","2021","2377","366607","0.65"
"Australia","2022","17816","10694041","0.17"
"Australia","2023","24344","11721535","0.21"
"Australia","2024","25236","11861161","0.21"
"Austria","2020","7049","344732","2.04"
"Austria","2021","16587","1252088","1.32"
"Austria","2022","21571","5678345","0.38"
"Austria","2023","22534","6082170","0.37"
"Austria","2024","22534","6082444","0.37"
"Azerbaijan","2020","2416","211764","1.14"
"Azerbaijan","2021","8284","614119","1.35"
"Azerbaijan","2022","10006","825893","1.21"
"Azerbaijan","2023","10353","834254","1.24"
"Azerbaijan","2024","10353","835757","1.24"
"Bahamas","2020","169","7788","2.17"
"Bahamas","2021","713","23630","3.02"
"Bahamas","2022","833","37491","2.22"
"Bahamas","2023","846","38147","2.22"
"Bahamas","2024","849","39127","2.17"
"Bahrain","2020","351","91518","0.38"
"Bahrain","2021","1394","279518","0.50"
"Bahrain","2022","1536","696614","0.22"
"Bahrain","2023","1536","696614","0.22"
"Bahrain","2024","1536","696614","0.22"
"Bangladesh","2020","7452","509148","1.46"
"Bangladesh","2021","28060","1583253","1.77"
"Bangladesh","2022","29439","2037024","1.45"
"Bangladesh","2023","29477","2046292","1.44"
"Bangladesh","2024","29499","2051348","1.44"
"Barbados","2020","7","347","2.02"
"Barbados","2021","260","27629","0.94"
"Barbados","2022","568","105515","0.54"
"Barbados","2023","593","107794","0.55"
"Barbados","2024","593","108582","0.55"
"Belarus","2020","1376","184922","0.74"
"Belarus","2021","5484","692601","0.79"
"Belarus","2022","7118","994037","0.72"
"Belarus","2023","7118","994037","0.72"
"Belarus","2024","7118","994037","0.72"
"Belgium","2020","19374","638760","3.03"
"Belgium","2021","28192","2048110","1.38"
"Belgium","2022","33240","4679472","0.71"
"Belgium","2023","34339","4848745","0.71"
"Belgium","2024","34339","4872829","0.70"
"Belize","2020","228","10490","2.17"
"Belize","2021","592","31503","1.88"
"Belize","2022","688","69675","0.99"
"Belize","2023","688","71383","0.96"
"Belize","2024","688","71414","0.96"
"Benin","2020","44","3205","1.37"
"Benin","2021","161","24935","0.65"
"Benin","2022","163","27985","0.58"
"Benin","2023","163","28036","0.58"
"Benin","2024","163","28036","0.58"
"Bermuda","2020","9","561","1.60"
"Bermuda","2021","106","6064","1.75"
"Bermuda","2022","152","18557","0.82"
"Bermuda","2023","165","18860","0.87"
"Bermuda","2024","165","18860","0.87"
"Bhutan","2020","0","597","0.00"
"Bhutan","2021","3","2660","0.11"
"Bhutan","2022","21","62531","0.03"
"Bhutan","2023","21","62697","0.03"
"Bhutan","2024","21","62697","0.03"
"Bolivia","2020","9083","153590","5.91"
"Bolivia","2021","19530","575247","3.40"
"Bolivia","2022","22280","1146741","1.94"
"Bolivia","2023","22385","1212096","1.85"
"Bolivia","2024","22387","1212147","1.85"
"Bonaire Sint Eustatius and Saba","2020","3","182","1.65"
"Bonaire Sint Eustatius and Saba","2021","22","3239","0.68"
"Bonaire Sint Eustatius and Saba","2022","39","11716","0.33"
"Bonaire Sint Eustatius and Saba","2023","41","11922","0.34"
"Bonaire Sint Eustatius and Saba","2024","41","11922","0.34"
"Bosnia and Herzegovina","2020","3923","109330","3.59"
"Bosnia and Herzegovina","2021","13283","287716","4.62"
"Bosnia and Herzegovina","2022","16222","400960","4.05"
"Bosnia and Herzegovina","2023","16380","403508","4.06"
"Bosnia and Herzegovina","2024","16392","403666","4.06"
"Botswana","2020","39","13890","0.28"
"Botswana","2021","2439","212482","1.15"
"Botswana","2022","2786","328031","0.85"
"Botswana","2023","2800","330417","0.85"
"Botswana","2024","2801","330696","0.85"
"Brazil","2020","190488","7448560","2.56"
"Brazil","2021","618392","22230737","2.78"
"Brazil","2022","692743","36124337","1.92"
"Brazil","2023","702116","37511921","1.87"
"Brazil","2024","702116","37511921","1.87"
"British Virgin Islands","2020","1","93","1.08"
"British Virgin Islands","2021","39","3071","1.27"
"British Virgin Islands","2022","64","7305","0.88"
"British Virgin Islands","2023","64","7420","0.86"
"British Virgin Islands","2024","64","7557","0.85"
"Brunei","2020","3","152","1.97"
"Brunei","2021","61","15447","0.39"
"Brunei","2022","148","268615","0.06"
"Brunei","2023","171","330776","0.05"
"Brunei","2024","179","347723","0.05"
"Bulgaria","2020","7123","197384","3.61"
"Bulgaria","2021","30528","733882","4.16"
"Bulgaria","2022","38036","1280617","2.97"
"Bulgaria","2023","38630","1323578","2.92"
"Bulgaria","2024","38700","1329988","2.91"
"Burkina Faso","2020","78","6344","1.23"
"Burkina Faso","2021","317","17040","1.86"
"Burkina Faso","2022","395","22006","1.79"
"Burkina Faso","2023","400","22109","1.81"
"Burkina Faso","2024","400","22139","1.81"
"Burundi","2020","2","809","0.25"
"Burundi","2021","14","26999","0.05"
"Burundi","2022","15","52051","0.03"
"Burundi","2023","15","54461","0.03"
"Burundi","2024","15","54569","0.03"
"Cambodia","2020","0","364","0.00"
"Cambodia","2021","3008","120449","2.50"
"Cambodia","2022","3056","138495","2.21"
"Cambodia","2023","3056","139014","2.20"
"Cambodia","2024","3056","139319","2.19"
"Cameroon","2020","448","26277","1.70"
"Cameroon","2021","1851","108676","1.70"
"Cameroon","2022","1965","123993","1.58"
"Cameroon","2023","1974","125137","1.58"
"Cameroon","2024","1974","125246","1.58"
"Canada","2020","14734","539241","2.73"
"Canada","2021","29851","1961723","1.52"
"Canada","2022","48421","4476385","1.08"
"Canada","2023","54441","4774236","1.14"
"Canada","2024","55282","4819055","1.15"
"Cape Verde","2020","112","11698","0.96"
"Cape Verde","2021","352","39013","0.90"
"Cape Verde","2022","412","63190","0.65"
"Cape Verde","2023","417","64474","0.65"
